Gene_ID,Major_splicing_variants,Seq_info,missing_seq_index
At1g69730,AT1G69730.1,#N/A,AT1G69730.1
At1g79670,AT1G79670.1,#N/A,AT1G79670.1
At1g79680,AT1G79680.1,#N/A,AT1G79680.1
At3g25490,AT3G25490.1,#N/A,AT3G25490.1
At3g53840,AT3G53840.1,#N/A,AT3G53840.1
At4g31100,AT4G31100.1,#N/A,AT4G31100.1
At4g31110,AT4G31110.1,#N/A,AT4G31110.1
At5g02070,AT5G02070.1,#N/A,AT5G02070.1
At1g18390,AT1G18390.1,#N/A,AT1G18390.1
At1g25390,AT1G25390.1,#N/A,AT1G25390.1
At1g66880,AT1G66880.1,#N/A,AT1G66880.1
At1g69910,AT1G69910.1,#N/A,AT1G69910.1
At2g23450,AT2G23450.1,#N/A,AT2G23450.1
At5g38210,AT5G38210.1,#N/A,AT5G38210.1
At5g66790,AT5G66790.1,#N/A,AT5G66790.1
AT1G07390,At1g07390.1,Athaliana_22658,0
AT1G17240,At1g17240.1,Athaliana_23484,0
AT1G17250,At1g17250.1,Athaliana_12128,0
AT1G45616,At1g45616.1,Athaliana_22962,0
AT1G47890,At1g47890.1,Athaliana_18594,0
AT1G54470,#N/A,#N/A,#N/A
AT1G58190,At1g58190.1,Athaliana_17962,0
AT1G65380,At1g65380.1,Athaliana_16755,0
AT1G71390,At1g71390.1,Athaliana_7328,0
AT1G71400,At1g71400.1,Athaliana_6334,0
AT1G74170,At1g74170.1,Athaliana_7179,0
AT1G74180,At1g74180.1,Athaliana_10823,0
AT1G74190,At1g74190.1,Athaliana_27415,0
AT2G15080,At2g15080.1,Athaliana_975,0
AT2G25440,At2g25440.1,Athaliana_11448,0
AT2G25470,At2g25470.1,Athaliana_21876,0
AT2G32660,AT2G32660.2,#N/A,AT2G32660.2
AT2G32680,At2g32680.1,Athaliana_24386,0
AT2G33020,At2g33020.1,Athaliana_5437,0
AT2G33050,At2g33050.1,Athaliana_10594,0
AT2G33060,At2g33060.1,Athaliana_24412,0
AT2G33080,At2g33080.1,#N/A,At2g33080.1
AT3G05360,At3g05360.1,Athaliana_15082,0
AT3G05370,At3g05370.1,Athaliana_3797,0
